1170,Happy Valley_SWE_snow survey,2576,WERC_Happy Valley_SnowSurvey,WERC_Happy Valley_SnowSurvey,21,UAFWERC0018,Snow Water Equivalent,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,1999-05-20 00:00:00,2010-05-28 00:00:00,63
2052,WERC_WK2_Avg_Depth_SnowSurvey,7948,WERC_WK2,WK2,142,UAFWERC_SnowDepth,Snow depth,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-23 00:00:00,2009-04-23 00:00:00,1
2055,WERC_WK3_Avg_Depth_SnowSurvey,7949,WERC_WK3,WK3,142,UAFWERC_SnowDepth,Snow depth,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-23 00:00:00,2009-04-23 00:00:00,1
2058,WERC_WK4_Avg_Depth_SnowSurvey,7950,WERC_WK4,WK4,142,UAFWERC_SnowDepth,Snow depth,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-23 00:00:00,2010-04-23 00:00:00,2
2061,WERC_WK5_Avg_Depth_SnowSurvey,7951,WERC_WK5,WK5,142,UAFWERC_SnowDepth,Snow depth,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-23 00:00:00,2009-04-23 00:00:00,1
2064,WERC_WK6_Avg_Depth_SnowSurvey,7952,WERC_WK6,WK6,142,UAFWERC_SnowDepth,Snow depth,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-24 00:00:00,2009-04-24 00:00:00,1
2067,WERC_WK8_Avg_Depth_SnowSurvey,7953,WERC_WK8,WK8,142,UAFWERC_SnowDepth,Snow depth,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-24 00:00:00,2009-04-24 00:00:00,1
2070,WERC_Wkmet_Avg_Depth_SnowSurvey,7954,WERC_Wkmet,Wkmet,142,UAFWERC_SnowDepth,Snow depth,Not Applicable,47,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-24 00:00:00,2009-04-24 00:00:00,1
1621,WERC_ANA1__Avg_Density_SnowSurvey,7797,WERC_ANA1,ANA1,143,UAFWERC_SnowDensity_SnowSurvey,Density,Not Applicable,198,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-22 00:00:00,2009-04-22 00:00:00,1
1624,WERC_ANA2_Avg_Density_SnowSurvey,7798,WERC_ANA2,ANA2,143,UAFWERC_SnowDensity_SnowSurvey,Density,Not Applicable,198,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-20 00:00:00,2010-04-24 00:00:00,2
1627,WERC_BDM_Avg_Density_SnowSurvey,7800,WERC_BDM,BDM,143,UAFWERC_SnowDensity_SnowSurvey,Density,Not Applicable,198,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-25 00:00:00,2009-04-25 00:00:00,1
1630,WERC_Betty Pingo_Avg_Density_SnowSurvey,7801,WERC_Betty Pingo,Betty Pingo,143,UAFWERC_SnowDensity_SnowSurvey,Density,Not Applicable,198,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2010-04-19 00:00:00,2010-04-19 00:00:00,1
1633,WERC_BL1_Avg_Density_SnowSurvey,7802,WERC_BL1,BL1,143,UAFWERC_SnowDensity_SnowSurvey,Density,Not Applicable,198,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-22 00:00:00,2010-04-21 00:00:00,2
1636,WERC_BL3_Avg_Density_SnowSurvey,7803,WERC_BL3,BL3,143,UAFWERC_SnowDensity_SnowSurvey,Density,Not Applicable,198,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-22 00:00:00,2010-04-21 00:00:00,2
1639,WERC_BL4_Avg_Density_SnowSurvey,7804,WERC_BL4,BL4,143,UAFWERC_SnowDensity_SnowSurvey,Density,Not Applicable,198,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-22 00:00:00,2010-04-21 00:00:00,2
1642,WERC_BL6_Avg_Density_SnowSurvey,7805,WERC_BL6,BL6,143,UAFWERC_SnowDensity_SnowSurvey,Density,Not Applicable,198,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2009-04-22 00:00:00,2010-04-21 00:00:00,2
1645,WERC_CHA1_Avg_Density_SnowSurvey,7806,WERC_CHA1,CHA1,143,UAFWERC_SnowDensity_SnowSurvey,Density,Not Applicable,198,Snow,Field Observation,0,107,Instantaneous,Hydrology,1,No method specified,3,Univeristy of Alaska Fairbanks, Water and Environmental Research Center,Snow survey data collected by Water and Environmental Research Center, University of Alaska Fairbanks,Berezovskaya, S., Hilton, K., Derry, J., Youcha, E., Kane, D., Gieck, R., Homan, J., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2010. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 10.01, Fairbanks, Alaska, 50 pp.  AND  Berezovskaya, S., Derry, J., Kane, D., Gieck, R., and Lilly, M., 2010. Snow Survey Data for the Central North Slope Watersheds: Spring 2009. University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 09.01, Fairbanks, Alaska, 21 pp. AND Hinzman, L.D 1990. The interdependence of the thermal and hydrologic processes of an arctic watershed and their response to climatic change. Ph.D. thesis, University of Alaska Fairbanks, 403 pp. AND Kane, D.L., L.D. Hinzman, C.S. Benson and K.R. Everett 1989. Hydrology of Imnavait Creek, an arctic watershed. Holarctic Ecology, 12, 262–269. AND  Kane, D.L., S. Berezovskaya, K. Irving, R. Busey, R. Gieck, M. Chambers, A.J. Blackburn, and M.R. Lilly 2006. Snow survey data for the Kuparuk Foothills Hydrology Study: Spring  2006. July 2006, University of Alaska Fairbanks, Water and Environmental Research Center, Report INE/WERC 06-06, Fairbanks, Alaska, 11 pp.,1,1,2010-04-26 00:00:00,2010-04-26 00:00:00,1
