1	Unknown	Unknown			Unknown				
28	Tipping Bucket Raingage,TX. Electronics				Precip				
29	ALPHA, 12-Thermistor String				"T1= +30, +20, +10cm a.g.s. (snow temps) & Surface,- 5, -10, -20, -30, -40, -50, -65 & -85 cm b.g.s.; T2=Surface,- 5, -10, -20, -50, -90, -150, -250, -450, -650, -850 & -1050 cm b.g.s	"				
30	PYR Pyrgeometer, longwave radiation				terresrial and atmospheric longwave radiation				
31	PSP Pyranometer				reflected and incident shortwave radiation				
32	Q7.1 Net radiometer				net radiation				
33	Tipping Bucket Raingage				Tipping Bucket Raingage				
34	TDR Unit,Tektronix				TDR probes at different depths (5 to 40cm) in 4 plotsTDR probes at different depths (5 to 40cm) in 4 plots				
35	Aerovane/anemometer (noted in instrumentation),024a Met One Wind Direction sensor (noted in metadata documentation)				10m Wind Direction.  For 024a Met One:  Accuracy, as reported by manufacturer, is to within +/- 5 degrees				
36	Tipping Bucket Raingage				Gen. Inst. 				
37	Wyoming snow gage				Snow				
38	CSI Mdl. 207 T/Rh, height of 2 meters				2m air temp and relative humidity				
39	Weathertronics anemometer, height 2 meters				2m wind speed				
40	Eppley model PSP Precision Spectral Pyranometer				This instrument has a reported spectral range of 0.285 to 2.800 microns and a reported accuracy of plus/minus 1 percent in the range of values encountered				
41	Weathertronics Albedometer				The spectral range of this sensor is 0.3 to 3 microns, which excludes the longwave component.  The accuracy of this sensor is reported to be plus/minus 1 percent and the cosine response is less than 1 percent when the sun angle is within 0 to 70 degrees of the perpendicular of the sensor plane.				
42	Swissteco model S-1 Net Radiometer				The operating range of the Swissteco instrument is 0.3 to 60 M	 the accuracy is reported as plus/minus 2.5 percent.  			
43	Eppley model PIR Precision Infrared Pyrgeometer				Eppley model PIR Precision Infrared Pyrgeometers were used to measure longwave radiation, both terrestrial and atmospheric.  The spectral range of this type of instrument is 4 to 50M and the accuracy is reported as plus/minus 1 percent between 0 and 700 W/m2				
44	Eppley Spectral Precision Pyranometer fitted with RG8 dark red filter				Eppley Spectral Precision Pyranometer fitted with RG8 dark red filter was used to measure photosynthetically active radiation between 0.700 and 2.800 microns at the Imnavait A site.  This instrument has a reported spectral range of 0.285 to 2.800 microns and a reported accuracy of plus/minus 1 percent in the range of values encountered				
45	Weathertronics Pyradiometer				This sensor produces two outputs, the total incoming radiation and total emitted or reflected radiation, the difference being the net absorbed radiation.  The accuracy of this instrument was reported to be within 2 percent				
46	Leupold Steven's F1 water level recorders within an H type flume				Stream discharge was estimated from stage data recorded by Leupold Steven's F1 water level recorders within an H typle flume.  A stage discharge relationship was developed from discharge measurements made with Price AA (Gurley) and Pygmy cup type current meters, Montedoro Whitney electromagnetic current meters and Sontek Accoutic Dopler current meters using standard USGS stream cross section techniques to estimate stream discharge from the recorded stage data.				
47	Onset HOBO U20 Water Level Data Logger - U20-001-01 				Water level accuracy*: Typical error - 0.05% FS, 0.5 cm (0.015 ft) water; Maximum error: - 0.1% FS, 1.0 cm (0.03 ft) water; Resolution: < 0.02 kPa (0.003 psi), 0.21 cm (0.007 ft) water; Thermal response time (90%)†: Approximately 10 minutes in water to achieve full temperature compensation of the pressure sensor; Accuracy: 0.37°C at 20°C (0.67°F at 68°F); Resolution: 0.1°C at 20°C (0.18°F at 68°F) (10-bit); Stability (drift): 0.1°C (0.18°F) per year   				
48	Kipp en Zonen solarimeter		1958-01-01	1958-01-01					
49	Beckman and Whitley net radiometer		1958-01-01	1958-01-01					
50	Beckman and Whitley total hemispheric radiometer		1958-01-01	1958-01-01					
51	thermocoupler recording continuously on a Leeds and Northrup Speedomax Recorder		1958-01-01	1958-01-01	Data reduction (punching cards and checking data) was performed by many persons.				
52	U.S.W.B. thermometer mounted in a cotton-region shelter		1957-06-01	1958-10-30	note thermometers were used to record maximum and minimum temperature and were mounted in a cotton-region shelter. 				
53	Assman type spring driven psychrometer and wet and dry bulb thermometer		1957-06-01	1958-10-30	The table used for relative humidity values: Relative Humidity from Wet and Dry Bulb Thermometer, Bulletin of U.S.W.B. No. 1071. Depression (td-t'w) were read to the nearest 0.1 degree. 				
54	PYR Pyrgeometer				Eppley, incoming and outgoing longwave radiation				
55	Kip & Zonen Pyranometer				Kip & Zonen, incoming and outgoing shortwave radiation				
56	In-Situ Troll 9000 submersible meter				NSL Water Chem, UAF				
57	Hatch LDO meter				NSLWater Chem, UAF				
58	CSI Mdl. 107 Temp probe				CSI Mdl. 107 Temp probe 				
59	v-notch weir: not applicable, pressure transducer: HOBO u20-001-040Ti; flow meter: Flo-MateTM Model 2000, Marsh-McBirney		2007-06-01	2009-08-18	(HOBO U20-001-04-Ti in 2009, and diurnal site visits in 2008 and 2007, summer only				
60	YSI submersible meter				NSL Water Chem, UAF				
61	Barometer				Atmospheric Pressure, WERC				
62	PSP Pyranometer				Eppley				
63	CSI				CSI Air Temp/Relative Humidity				
64	RM YOUNG				RM YOUNG 3m wind speed and wind direction				
65	Texas				Texas, rainfall				
66	REBS,Q95174				CF TOP=9.29W/M^2/MV, CF BOTTOM=11.59				
67	ALPHA				soil temperature				
68	CSI				soil moisture content probe 				
