26	Runoff and precipitation measurements in drained thatw lake basin, Barrow, Alaska	Runoff represent the 0.3km^2 watershed representing the Control section in the Biocomplexity Experiment, Barrow, Alaska.	
27	North Slope Lakes Project, monthly lake chemistry for selected lakes, Water and Environmental Research Center, University of Alaska-Fairbanks: YSI submersible meter	Water quality parameters were obtained in-situ by using a YSI submersible meter, at several depths throughout the water column.  The precision with which physical measurements were reported takes into account field conditions and the calibration of each parameter was checked before and after each day of sampling.	
28	USFWS Stream Discharge 1988 to 1992	Stream gaging stations were installed between 18 and 20 July 1988. Stream gaging stations were in service until 27 or 28 September 1988. In 1989 stream gaging stations were reinstalled at the 1988 sites with the exception of Itkilyariak Creek. The Itkilyariak Creek stream gage was moved to the West Fork of Itkilyariak Creek.  Two additional gaging stations were installed on the Niguanak and Sikrelurak Rivers. Stations were installed between 14 June and 29 June 1989 and remained in operation until 24 September 1989. Similarly, all 10 gaging stations were reinstalled during the open water months in 1990, 1991, and 1992. Stream gages were installed each spring just after break up when river bottoms were free of anchor ice. Gages were in operation until mid to late September each year.  Rating curves were developed for each stream gage for each year of operation. Polynomial relationships between stage and discharge were developed for all stations except Sadlerochit Springs, where a linear relationship was used. The correlation coefficient for all relationships ranged from 0.95 to 0.99. The average daily discharge for each station for each year was reported.  During five years of data collection bears, ground squirrels, floods, equipment malfunction, and human error resulted in several data gaps. Data gaps were estimated when possible. All estimated data are denoted with an “e”. Estimates of larger data gaps are poor.  When no reasonable method or estimate could be made the data gap was left as missing data. On July 21, 1991, a large flood event washed out the gaging stations on the Sadlerochit and Tamayariak Rivers. A field camp located along the bank of the Sadlerochit River had to be moved because of overbank flooding. Another geology field camp was completely washed away. Estimates of peak flows from this event were estimated using the slope-area method (Darymple et al. 1967). Estimates of discharge during breakup were made using a linear relationship between the USGS data from the Kuparuk River and the river located on the coastal plain of the Arctic National Wildlife Refuge. Estimates of the breakup flows are considered to be poor, but are the best professional estimates available. Flood frequency estimates are based on high discharge from precipitation events. Flooding that occurred during breakup was excluded from the analysis. Flood flow frequency analysis was used to calculate flood flow estimates for 2, 5, 10, and 25 year flood frequency events. Flood flow estimates calculated for the Akutoktak, Sadlerochit River, Tamayariak River, and Middle Fork Tamayariak River are based on five years of data. Estimates for West Fork Itkilyariak Creek and Upper West Tamayariak are based on four years of data. No flow estimates were calculated on other creeks. The hydrologic subcommittee (1982) requires a minimum of 10 years of data for flood frequency analysis. The flood flow frequency estimates are based on less than ten years of data and should be used with caution. The relatively high standard deviation is an indication of the low confidence of the flood flow estimates. The annual seven day low flow was calculated for each stream for each year of record.  All low flow calculations are based on the open water season (June through September).	
29	USGS_Stottlemyer_AsikWatershedMethods	Stream Met and chemical analyses	https://www.crops.org/publications/jeq/articles/30/6/1990
30	Snowfall Telemetry Network data for Northern Alaska SNOTEL	SNOTEL daily values, general guidelines state that Air Temperature: Shielded thermistor, Precipitation: Storage type gage, Snow Water Content: Snow pillow device and a pressure transducer and Snow Depth: Sonic sensor	http://www.wcc.nrcs.usda.gov/snotel/SNOTEL-brochure.pdf
31	Snow course	A snow course is a permanent site where manual measurements of snow depth and snow water equivalent are taken by trained observers.  Measurements are usually taken around the first of the month during the winter and spring. Generally, the courses are about 1,000 feet long and are situated in small meadows protected from the wind.	http://www.wcc.nrcs.usda.gov/snowcourse/sc-hist.html
32	NCDC GHCN	NCDC, Global Historical Climate Network.  If the data value had a failed quality control flag, it was replaced with -9999 and given a quality control flag of 9	http://www1.ncdc.noaa.gov/pub/data/ghcn/daily/readme.txt
33	RAWS	Remote Autmated Weater Stations.	http://www.raws.dri.edu/documents/NFDRS_final_revmay05.pdf
34	USGS_GTN-P	This method was used for loading the USGS GTN-P data files into the database.  If the hour contained the value '24', the timestamp was updated to midnight of the following day.  	
35	TFS_ToolikFieldStation	n June 1988 ARC LTER weather data began to be collected at Toolik Lake (68 degrees 37 42N, 149 degrees 35 46W) by a Campbell 21x datalogger. Hourly averages parameters include: air temperature and relative humidity at, wind speed at, wind direction at 5 meters, global solar radiation, photosynthetically active radiation, net radiation (Fritschen type), unfrozen precipitation, soil temperatures, lake temperature, lake depth, and evaporation pan depth. Net radiation and pan evaporation are only measured during the summer months. The hourly data are in the file 88DLTLH.DAT and daily summaries are in 88DLTLD.DAT. The full description of the sensors and site is in file SENSORS.DOC. The original data is in file 88DLTDAT.ZIP, which is archived at The Marine Biological Lab, Woods Hole, MA. Notes: Wind speed less than .447 is considered calm. For the global solar radiation and photosynthetically active radiation sensors no attempt is made to correct for frost or snow on the sensors during the winter months. Therefore winter radiation data should be view as suspect and used only qualitatively. Data was lost from Julian 166 hour 900 to 167 hour 900. At the end of August the 3 meter temperature/ RH sensor was moved up to 5 meters for better separation for the possibility of calculating energy balance using Bowen ratio approach. For the winter, only the 5 meter temperature/RH, wind speed and direction, soil temperature, and lake temperature were recorded. The 5 meter air temperature less then -40 were corrected with a regression of 5 meter air temps verse air TC (only used 0 to -35 for regression). The 5 meter air thermister is only accurate to -40 Celsius. Lake depth was record by a pressure transducer placed offshore in less then 1 meter of water. It was removed during the winter and replaced the following year with a transducer that could be placed deep enough to avoid freezing. Lake temperature during the summer was measured at the depth of the lake depth sensor. The 5 meter direction sensor did not work during the winter. See the Comments variable for additional notes. Reference Citations: Buck, A. L. 1981 New equations for computing vapor pressure and enhancement factor. Journal of Applied Meteorology 20:1527-1532. CALCULATIONS Variable Formula DAYS : JULIAN + (HOUR/2400) VAPOR PRESS 5M: If Air Temp > 0 then (RH 5M/100) * 6.1121 * exp(17.368 * AIR TEMP 5M/(238.88 + AIR TEMP 5M)) If Air Temp < 0 then (RH 5M/100) * 6.1121 * exp(17.966 * AIR TEMP 5M/(238.88 + AIR TEMP 5M)) (Buck 1981). PY TOTAL J CM2 HOUR: PYRANOMETER * .3600 jcm2 * 1000 watt/Kwatt.  Check each daily, hourly, every three hours by year for additional processing notes.	http://ecosystems.mbl.edu/arc/weather/tl/index.shtml
36	CALM spatial-oriented observations	CALM (Circumpolar Active Layer Monitoring).  For spatial-oriented observations (grids, transects) the average of all sampling points are averaged.	http://www.udel.edu/Geography/calm/data/north.html
38	CALM inferred from ground temperatures	CALM (Circumpolar Active Layer Monitoring).  Thaw depths are inferred from ground temperature measurements.	http://www.udel.edu/Geography/calm/data/north.html
