0	Unknown	Unknown	Unknown	Unknown	
21	inlandWaters	Temperature and Discharge Measurements of the Kuparuk River (1987-present) and Oksrukuyik Creek (1988-present)	"Temperature and discharge data were collected at the following sites using the following methods. At Oksrukuyik Creek crossing at the Dalton Highway. Lat 68 41'13"", long 149 05'42"", in NE1/2, sec.4, T.9 S., R.13E., on left bank 10 m downstream from culvert, at mile 297.9 Dalton Hwy, 14 mi south of Pump Station 3, and 16.5 mi upstream from mouth (USGS Hydrologic Unit 19060402) stage height measurements were taken hourly with a Campbell CR-10 datalogger, and continuously with the USGS Stevens chart recorder, at the USGS gauging station, 10 meters downstream of the the Dalton Highway crossing. Discharge measurements were taken with a Marsh McBirney flow meter at a location 20 meters below the chart recorder. Flow was measured at 20 points for each transect. Discharge measurements were used to calibrate the rating curves for each year. 	Temperature readings were taken every 10 minutes by a Campbell CR-10 datalogger located 10 m downstream from the Oksrukuyik Creek crossing. Discharge, stage height and temperarture were measured at the one km upstream of the Kuparuk River crossing at the Dalton Highway, 68 38'15""N, 149 25'30""W. Stage height measurements were recorded by a Campbell CR-10 datalogger positioned 1 km upstream of the Kuparuk River crossing at the Dalton Highway. Stage height readings are in centimeters from the bottom of the river to the water surface. Discharge calibration measurements were taken at 60% of depth at 20-30 points along a cross sectional transect of the river, 100 meters upstream of the datalogger. Raw data from the calibration measurements are available. Stream temperature and discharge Each summer, water temperature and stream discharge are determined for the Kuparuk River and Oksrukuyik Creek. In many years, temperature and stream height were recorded manually each day. In recent years, dataloggers have measured stream temperature and stream height at regular intervals. The Kuparuk River data is maintained by Doug Kane on the Water and Environmental Research Center at UAF (http://www.uaf.edu/water/projects/NorthSlope/upper_kuparuk/uk_river/uk_river.html) Stream height is converted into stream discharge based on a rating curve calculated from manual discharge measurements throughout the season. The principal investigator in charge of the temperature and discharge measurements is Dr. Breck Bowden."	ISO-____	http://ecosystems.mbl.edu/arc/streams/tempdischarge/index.shtml
22	climatology/meteorology/atmosphere	Climate data from Toolik Moist Acidic Tussock (1990-present), Toolik Wet Sedge (1994-present), Toolik Moist Non-Acidic Tussock (1999-present), and Sagavanirktok River (1986-present) meteorological stations.	"The Toolik Moist Acidic Tussock station (68 degrees 37' 27"" N, 149 degrees 36' 24""W) started recording measurements in 1990 (soil and air temperatures and other weather parameters) in the experimental plots in the moist acidic tussock tundra near Toolik Lake. The Toolik Wet Sedge  station (68 degrees 37' 57"" N, 149 degrees 37' 32""W) started recording measurements in 1994. This site measures soil and air temperatures in the Wet Sedge Experimental plots (Block 1) near Toolik Lake.  The Toolik Moist Non-Acidic Tussock station (68 degrees 38' 7"" N, 149 degrees 38' 26""W) was added in 1999 to measure soil and air temperature in the experimental plots in non-acidic (pH ~ 5.88) moist tussock tundra.    The Sagavanirtok River station (68 degrees 46'N, 148 degrees 52'W, elevation 470 m) started recording measureemnts in 1986 during the summer months. In summer of 1993 the station was maintained year round."	ISO-____	http://ecosystems.mbl.edu/arc/weather/weatherdefault.html
23	climatology/meteorology/atmosphere	Toolik Field Station Weather Station (aka Toolik Field Station Met) Data (1988-present)	Weather data has been collected at Toolik Field Station (68 degrees 38'N, 149 degrees 36'W) since June 1988. The weather station located at the field station was originally installed by the Arctic LTER (ecosystems.mbl.edu/arc) and TFS assumed control of the station in 2007. The field station is an ideal location for maintaining long-term weather data, as it is located in a data sparse region and adds a data point along the north-south transect of the Northslope of Alaska, following along the Dalton Highway. There is year round access and a long-term pre-existing dataset. These advantages make it possible to provide quality data - a often difficult achievement in remote northern latitudes in Alaska. Data collected includes air temperature, relative humidity and wind speed, wind direction, global solar radiation, photosynthetically active radiation, barometric pressure, precipitation, soil temperatures, lake temperature, lake depth, precipitation and evaporation pan depth and pan water temperature. Most sensors are read every minute and then averaged or totaled every hour. The exceptions are soil temperatures, lake temperature, lake depth, and evaporation pan depth and pan water temperature which are read on ten minute intervals and averaged every three hours. Pan evaporation and pan water temperature are only measured during the summer months. For photosynthetically active radiation sensor no attempt is made to correct for frost or snow on the sensors during the winter months. As of 2008, global solar radiation sensor is equipped with a heater and ventilation system to remain snow and frost free throughout the year. Years prior to 2008, the global solar radiation was not kept free from frost or snow. Please note this when viewing radiation data.	ISO-____	http://toolik.alaska.edu/edc/weather/weather_monitoring.php
24	climatology/meteorology/atmosphere	Arctic Observing Network Study of Carbon and Energy Balances in Arctic Terrestrial Systems (Imnaviat Creek)	In order to develop a process-level understanding of carbon, water and energy exchanges throughout the circumpolar terrestrial Arctic, datasets from a variety of international projects must be readily available through an integrated public database. It is the intention of this site to provide this data from the projects that are associated with this particular aspect of Arctic Observatory Networks. It is expected that the availability and comparability of relevant datasets be enhanced and that communications and collaborations between international research projects will be improved. Therefore, this project is committed to the following: the collection, archiving and regular maintenance of publically available datasets; development of detailed metadata to aid in the understanding of these datasets; the posting of detailed information about study sites, present and past in formats that are understandable and useful to both researchers and the general public;  the timely display of data and imagery from active projects; the timely processing of data from active projects; fostering communication between researchers, students and the public through the posting of analyses, presentations, posters and publications. There are four automated weather stations deployed at Imnavait Creek in support of the AON objectives.  The primary stations consist of the Ridge and Fen stations which were deployed at the end of the summer, 2007. The Biocomplexity Tower -- this automated weather and gas analysis station was deployed in 2004 and has been in operation during the melt seasons ever since. The Radiation Station -- This automated weather and radiation analysis station was depoyed at the end of the summer, 2008.	ISO-____	http://aon.iab.uaf.edu/AON_IC_Communications_&_Data.html
25	climatology/meteorology/atmosphere	Umiat Corridor Hydrology Project	This project, funded by the Alaska Department of Transportation and Public Facilities, will help characterize the major rivers and streams in watersheds in the Umiat Road Corridor. The effect of climate change may be evaluated to help determine the future impacts to resource development efforts and public infrastructure. This project is building on the many years of research the Water and Environmental Research Center has conducted in the central North Slope. 	ISO-____	
26	climatology/meteorology/atmosphere	Sagavanirktok River / Bullen Point Hydrology Project	This project, funded by the State of Alaska through the Department of Natural Resources (AKDNR), ended in July of 2010. The purpose of the project was to investigate the hydrology in the coastal plain region from the Sagavanirktok River toward Bullen Point. This is a data-sparse region; issues such as breakup timing, prediction of flood events, estimating potential recharge and impacts of water use from lakes and gravel pits require a better understanding of water resources in the area. It is also important to develop an understanding of how the related watersheds function relative to the Kuparuk River Watershed, which has the longest-term data on the North Slope and has the greatest potential for serving as an index watershed. Developing this understanding will help better define the risks associated with hydrologic variability and climate change impacts in areas with no historical hydrologic information. The Bullen Point project website links to project reports and archived hydro-meteorological data collected from eight weather stations and three river gauging stations.	ISO-____	
27	climatology/meteorology/atmosphere	Kuparuk Watershed Hydrology Study	Driven by the need to improve our understanding of the role that arctic hydrology plays in the regional and global climate, several related hydrologic studies were initiated on the North Slope of Alaska in 1992. These studies included field research and modeling studies of the logistically accessible Kuparuk River basin and selected contributing watersheds, a north draining river system that empties into the Arctic Ocean. The goals are to collect quality hydrologic data throughout the year, monitor and study as many hydrologic processes as possible, address issues of spatial variability, examine hydrologic responses at various scales, and utilize conventional as well as remote methods of data collection. The area of study is the Kuparuk River basin (8, 140 km2) and three smaller drainages: Upper Kuparuk River (142 km2), Imnavait Creek (2.2 km2) and Putuligayuk River on the coastal plain (471 km2). The Putuligayuk catchment has only been studied in a manner similar to the other basins since 1999, although the U. S. Geological Survey (USGS) collected runoff data for a number of years.   	ISO-____	
28	climatology/meteorology/atmosphere	North Slope Lakes Hydrology Project	The objective of the North Slope Lakes Project is to assess the physical and chemical hydrologic processes in North Slope Lakes and potential changes associated with water use. This project involves hydrological and meteorological montioring, remote sensing analysis, and numerical modeling. There are currently ten meteorological stations associated with this project and five neighboring stations associated with different Water and Environmental Resource Center projects. Observations, remote sensing imagery, and modeling are used to quantify water inputs and evaporative losses across the operational region of the North Slope. Extensive snow surveys prior to spring melt will allow us to characterize regional differences in snow distribution. Evaporation and evapotranspiration are empirically determined from meteorological measurements. We characterize available recharge for selected watersheds. These results will be combined to estimate the water balance of target lakes. The modeling and analysis efforts will develop a set of operational modeling tools for Industry and agencies to use for water use activities.	ISO-____	
29	climatology/meteorology/atmosphere	Climate Monitoring Program in the Arctic Alaska Network, National Park Service	The National Park Service is considering expansion of the remote automated weather station network in the Arctic Alaska Inventory and Monitoring Network. The Arctic Network consists of Gates of the Arctic National Park and Preserve, Noatak National Preserve, Kobuk Valley National Park, Cape Krusenstern National Monument, and Bering Land Bridge National Preserve. The proposed action would expand the RAWS program by establishing additional stations to collect basic climatological data including air and soil temperature, precipitation, relative humidity, wind speed and direction, solar radiation, and snow depth.	ISO-____	
32	climatology/meteorology/atmosphere	NCDC Climate Data and Metadata	Unknown	ISO-____	
33	Permafrost/SoilTemperature	Circumpolar Active Layer Monitoring (CALM) program 	The primary goal of the Circumpolar Active Layer Monitoring (CALM) program is to observe the response of the active layer and near-surface permafrost to climate change over long (multi-decadal) time scales.  The CALM program began in 1991. The CALM observational network observes the long-term response of the active layer and near-surface permafrost to changes and variations in climate at more than 125 sites in both hemispheres. CALM currently has participants from 15 countries. It was initially affiliated with the International Tundra Experiment (www.itex-science.net) and was later (1998-2002) supported by a grant from the U.S. National Science Foundation’s Arctic System Science program to the University of Cincinnati and directed by Professor K. M. Hinkel. During a bridging year (2003) field operations in Alaska, Russia, Mongolia, and Kazakhstan were supported by the University of Delaware’s Center for International Studies. The CALM program is currently supported by a grant from NSF’s Arctic Research Support and Logistics program (OPP-0352958). A brief history of CALM is available in Brown et al. (2000). Approximately 60 sites measure active-layer thickness on grids ranging from 1 ha to 1 km², and 100 sites observe soil temperatures, including permafrost temperatures from boreholes. Most sites in the CALM network are located in Arctic and Subarctic lowlands, although 20 boreholes affiliated with CALM are in mountainous regions of the Northern Hemisphere above 1300 m elevation. A new Antarctic component is being organized and currently includes 13 sites. The broader impacts of this project are derived from the hypothesis that widespread, systematic changes in the thickness of the active layer could have profound effects on the flux of greenhouse gases, on the human infrastructure in cold regions, and on landscape processes. It is therefore critical that observational and analytical procedures continue over decadal periods to assess trends and detect cumulative, long-term changes. The CALM website contains archived data sets, a table of summary statistics, a map of the sites, measurement protocols, CALM forms, equipment installation instructions, uploading and downloading instructions, and other pertinent information. Note some CALM sites are also part of the GTNP (gtnp.org).	ISO-____	http://www.udel.edu/Geography/calm/data/north.html
34	Permafrost/SoilTemperature	Global Terrestrial Network-Permafrost (GTN-P) 	The development of the Global Terrestrial Network-Permafrost (GTN-P) was approved by the Global Climate Observing System (GCOS) in 1999. The GCOS and the Global Terrestrial Observing System (GTOS) under the Terrestrial Observation Panel for Climate (TOPC) and the World Climate Research Program (WCRP) have identified Permafrost Thermal State and Permafrost Active Layer as key variables for monitoring the cryosphere. Changes in permafrost temperatures frequently reflect changes in surface climate over time, and therefore serve as a useful indicator of climate change. A globally comprehensive permafrost monitoring network is required in order to detect and monitor spatial and temporal variability changes in active layer and permafrost. At its June 1998 Yellowknife, Canada meetings, the International Permafrost Association (IPA) Council passed two resolutions to facilitate development of a permafrost monitoring network and service. The IPA subsequently prepared strategy and implementation documents consistent with the GCOS monitoring observations. Development and implementation of the GTN-P is managed by the International Permafrost Association. Parts of the GTN-P are already in place through nationally and regionally funded projects. A 12-country, 80-site network presently exists under the IPA's Circumpolar Active Layer Monitoring (CALM) Network. Borehole temperatures are also measured at 33 of these active layer sites. About 200 boreholes of varying depths are potentially available for monitoring permafrost temperature changes. The European Community project, Permafrost and Climate in Europe (PACE) has begun to instrument a series of nine boreholes in mountains from Spain and Italy to Svalbard. Final selection of borehole sites will be undertaken to ensure sound regional and global coverage, while taking maximum advantage of existing facilities. Site selection guidelines are under development. In addition sites will be selected to meet the GCOS/GTOS hierarchical system for surface observations, or the Global Hierarchical Observing Strategy (GHOST).	ISO-____	http://www.gtnp.org/metadata/us/index_e.html
35	climatology/meteorology/atmosphere	ATLAS: 1994, Happy Valley and UPAD site : CO2, H20, & Heat Flux Data (Oechel) 	This data set contains eddy correlation data (collected every 30 minutes) including CO2, H20, and Heat Flux at the Happy Valley and UPAD Sites in Alaska,1994 (early June to late August).  This project was part of the ATLAS project. 	ISO-____	http://nsidc.org/cgi-bin/get_metadata.pl?id=arcss103 AND http://acsys.npolar.no/adis/metadata_datasets.php?s=20&=Datasets&id=143&tag=All&Category=Biosphere&WCRP=All&Areal=All&stype=phrase&limit=10&q= AND http://acsys.npolar.no/adis/metadata_datasets.php?s=10&=Datasets&id=147&tag=All&Category=Biosphere&WCRP=All&Areal=All&stype=phrase&limit=10&q=
36	inlandWaters	Water Resources of the Colville River Special Area, National Petroleum Reserve-Alaska (2003)	In July 2000, the BLM began a systematic inventory of the water resources of the Colville River Special Area, as recommended by the Record of Decision for the Northeast National Petroleum Reserve-Alaska Integrated Activity Plan/Environmental Impact Statement. Six lakes and seventeen river sites were surveyed to provide baseline limnological and hydrological information for the Special Area. Field crews measured streamflow, surveyed channel geometry, and collected water quality samples. Drainage basins and their physical characteristics were determined using Geographic Information System analysis. A hydrologic basin map was produced. Flood frequency relationships and bankfull discharge were estimated using computer models. The basin characteristics, streamflow data, channel geometry, and water quality information will be used to characterize those areas subject to future management plans and mitigate potential disturbances in site-specific environmental analyses.	ISO-____	
37	inlandWaters	Monthly Lake Chemistry and Physical Data for Selected North Slope, Alaska Lakes: 2002-2008, University of Alaska-Fairbanks Water and Environmental Research Center and Geo-Watersheds Scientific	The University of Alaska Fairbanks (UAF) Water and Environmental Research Center (WERC) and Geo-Watersheds Scientific (GWS), together with project cooperators, initiated a study in the Fall of 2002 (Phase One) to obtain baseline information about the physical and chemical characteristics of North Slope tundra lakes. The project was extended in 2005 (Phase Two). The location of the study lakes changed and was expanded to include other reservoirs so as to further develop the understanding and simulation tools necessary for water-source management. K113 is an un-pumped lake in the Kuparuk oilfield and is sampled on selected field trips during the year. L9312 is a natural lake studied in the Alpine operations area. L9817 is a natural lake in eastern NPRA, west of Nuiqsut. L9817 had been used in past years for ice-road construction, but was not pumped during the 2005-06 or 2006-07 winters, however, it was heavily pumped throughout the 2007-08 winter. Two reservoir systems (mine sites) were added to the study in 2005. Mine Site B, also known as Six-mile Lake, is located near the Milne Point facility at the intersection of the Spine Road with the Milne Point access road and has two cells connected to Milne Creek. The Kuparuk Reservoir System (Kuparuk Deadarm Lakes) has nine reservoirs. The three southernmost reservoir cells (1-3) are included in the study to observe ground-water and surface water interactions between each cells and the adjacent Kuparuk River. Water-quality and hydrologic data is collected in the field during monthly visits to the lakes and water samples are collected from priority locations for further analysis at the UAF-WERC chemistry laboratories.	ISO-____	
