Silicon	Silicon (Si)  
Sky Cover	Sky Cover
Snow depth	Snow depth
Snow Water Equivalent	The depth of water if a snow cover is completely melted, expressed in units of depth, on a corresponding horizontal surface area.
Snowfall	Snowfall includes sleet and hail
Sodium	Sodium (Na)
Sodium adsorption ratio	Sodium adsorption ratio
Sodium plus potassium	Sodium plus potassium
Sodium, fraction of cations	Sodium, fraction of cations
Solids, fixed Dissolved	Fixed Dissolved Solids
Solids, fixed Suspended	Fixed Suspended Solids
Solids, total	Total Solids
Solids, total Dissolved	Total Dissolved Solids
Solids, total Fixed	Total Fixed Solids
Solids, total Suspended	Total Suspended Solids
Solids, total Volatile	Total Volatile Solids
Solids, volatile Dissolved	Volatile Dissolved Solids
Solids, volatile Suspended	Volatile Suspended Solids
Specific conductance	Specific conductance
Streamflow	The volume of water flowing past a fixed point.  Equivalent to discharge
Streptococci, fecal	Fecal Streptococci
Sulfate	Sulfate (SO4)
Sulfur	Sulfur (S)
Sulfur dioxide	Sulfur dioxide (SO2)
Sulfur, organic	Organic Sulfur
Sulfur, pyritic	Pyritic Sulfur
Sunshine duration	Sunshine duration
Table overrun error count	A counter which counts the number of datalogger table overrun errors
TDR waveform relative length	Time domain reflextometry, apparent length divided by probe length. Square root of dielectric
Temperature	Temperature
Temperature, dew point	Dew point temperature
Temperature, transducer signal	Temperature, raw data from sensor
Thaw Depth	thaw depth
Time, z-time HHMM format	The time at which * occurred.
Transpiration	Transpiration
TSI	Carlson Trophic State Index is a measurement of eutrophication based on Secchi depth
Turbidity	Turbidity
Vapor pressure	The pressure of a vapor in equilibrium with its non-vapor phases
Vapor pressure deficit	The difference between the actual water vapor pressure and the saturation of water vapor pressure at a particular temperature.
Velocity	The velocity of a substance, fluid or object
Visibility	Visibility
Voltage	Voltage or Electrical Potential
Volume	Volume. To quantify discharge or hydrograph volume or some other volume measurement.
Volumetric water content	Volume of liquid water relative to bulk volume. Used for example to quantify soil moisture
Watchdog error count	A counter which counts the number of total datalogger watchdog errors
Water	
Water Content	Soil water content
Water depth	Water depth is the distance between the water surface and the bottom of the water body at a specific location specified by the site location and offset.
Water depth, averaged	Water depth averaged over a channel cross-section or water body.  Averaging method to be specified in methods.
Water flux	Water Flux
Water level	Water level relative to datum. The datum may be local or global such as NGVD 1929 and should be specified in the method description for associated data values.
Water potential	Water potential is the potential energy of water relative to pure free water (e.g. deionized water) in reference conditions. It quantifies the tendency of water to move from one area to another due to osmosis, gravity, mechanical pressure, or matrix effects including surface tension.
Water pressure	Water pressure
Water vapor density	Water vapor density
WebCam	Web camera
Well flow rate	Flow rate from well while pumping
Wellhead pressure	The pressure exerted by the fluid at the wellhead or casinghead after the well has been shut off for a period of time, typically 24 hours
Wind direction	Wind direction
Wind sector	Compass direction of WIND DIR in 45 degree sectors
Wind speed	Wind speed
Wind vector magnitude	Wind vector magnitude
Zeaxanthin	The phytoplankton pigment Zeaxanthin
Zinc	Zinc (Zn)
