Asik RAWS - Alaska - Noatak National Park and Preserve,,,,,,,,,,,,,,,
Date_Time,Precipitation (in),Wind Speed (mph),Wind Direction (degrees),Average Air Temperature (F),Relative Humidity (%),Battery Voltage (Volts),Wind Direction of Gust (degrees),Peak Wind Speed (mph),Solar Radiation (W m-²),Snow Depth (in),Minimum Air Temperature (F),Maximum Air Temperature (F),Soil Temperature 10 cm (F),Soil Temperature 20 cm (F),Soil Temperature 50 cm (F)
7/19/2012 5:00,0,3,77,44.99,100,12.8,87,4.2,5,2.6,44.88,45.09,47.9,47.7,46.9
7/19/2012 6:00,0,2.8,48,45.08,100,12.8,111,4.1,3,2.5,44.99,45.2,47.7,47.6,46.9
7/19/2012 7:00,0.01,4.2,42,45.22,100,12.8,54,6.3,18,2.6,45.09,45.4,47.6,47.5,46.8
7/19/2012 8:00,0,5.2,42,45.46,100,13,52,6.2,46,2.5,45.2,45.72,47.5,47.4,46.8
7/19/2012 9:00,0,5.4,52,46.07,100,13.4,54,6.6,134,2.4,45.51,46.84,47.5,47.3,46.7
7/19/2012 10:00,0,4.9,89,46.54,100,13.4,82,6.5,152,2.4,45.98,46.82,47.7,47.3,46.7
7/19/2012 11:00,0,5.2,112,47.11,99,13.3,123,8.6,216,2.5,46.41,47.88,48,47.5,46.7
7/19/2012 12:00,0,3.4,160,47.31,99,13.3,179,6.9,199,2.3,46.67,48.98,48.5,47.8,46.6
7/19/2012 13:00,0,4.3,170,48.29,98,13.3,215,6.5,343,2.4,47.4,49.7,49.1,48.1,46.6
7/19/2012 14:00,0,5.8,160,49.89,87,13.2,203,8.7,409,2.7,48.72,51.63,49.9,48.6,46.6
7/19/2012 15:00,0,4.9,159,50.66,81,13.2,202,9.1,335,2.2,49.84,51.63,50.7,49.1,46.7
7/19/2012 16:00,0,8.3,160,52.36,80,13.2,168,11.1,491,2.4,51.11,54.85,51.4,49.7,46.8
7/19/2012 17:00,0,8.7,194,53.54,78,13.2,207,12.3,544,2.3,52.44,55.37,52.1,50.3,46.9
7/19/2012 18:00,0,13.8,199,53.35,86,13.2,219,17.5,450,2.4,51.91,55.89,52.8,50.9,47.1
7/19/2012 19:00,0,11,196,52.68,80,13.2,213,16.5,256,2.3,51.74,54.06,53.2,51.4,47.3
7/19/2012 20:00,0,10.2,225,55.15,75,13.2,222,15.3,538,2.3,53.22,56.98,53.4,51.8,47.5
7/19/2012 21:00,0,13.2,219,53.1,79,13.2,225,17.3,395,2.2,51.82,55.16,53.7,52.1,47.8
7/19/2012 22:00,0,12.4,236,51.6,81,13.2,244,15.7,236,2.4,50.29,52.47,53.7,52.4,48
7/19/2012 23:00,0,13.4,233,49.24,80,13.2,244,16,56,2.4,48.66,50.18,53.5,52.4,48.2
7/20/2012 0:00,0,5.1,247,46.37,87,13.1,239,11.4,24,2.4,43.47,48.68,53,52.2,48.5
7/20/2012 1:00,0,3.9,250,44.14,80,13,280,6.3,10,2.4,41.32,46.93,52.4,52,48.6
7/20/2012 2:00,0,3.8,242,43.19,72,12.9,252,7,5,2.5,40.27,46.25,51.8,51.6,48.7
7/20/2012 3:00,0,2.3,244,44.22,55,12.8,265,4.6,2,2.4,41.45,45.63,51.2,51.2,48.8
7/20/2012 4:00,0,2.6,253,44.86,48,12.8,255,5.7,2,2.3,43.55,46.17,50.4,50.7,48.8
7/20/2012 5:00,0,2.9,268,43.48,72,12.8,262,4.9,4,2.3,40.63,45.35,49.6,50.1,48.8
7/20/2012 6:00,0,1.1,354,41.56,57,12.8,355,2.2,20,2.2,40.52,42.93,48.9,49.6,48.7
7/20/2012 7:00,0,1.3,339,41.47,72,13.1,240,3.1,53,2.2,39.96,43.77,48.3,49.1,48.6
7/20/2012 8:00,0,1.4,257,42.21,66,13.4,343,2.8,125,2.2,40.38,43.48,47.9,48.6,48.5
7/20/2012 9:00,0,2.4,210,42.12,77,13.3,347,4.4,166,2.3,40.2,43.77,47.8,48.3,48.3
7/20/2012 10:00,0,2.5,235,40.78,90,13.4,235,4.2,147,2.3,39.48,42.68,47.8,48.1,48.1
7/20/2012 11:00,0,2.8,195,40.29,91,13.4,355,5.3,183,2.3,39.08,42.1,47.9,48,47.9
7/20/2012 12:00,0,2.7,115,42.41,80,13.4,354,5.2,301,2.2,40.74,43.87,48.2,48,47.7
7/20/2012 13:00,0,2.4,187,45,72,13.3,274,5.1,382,2.3,42.9,46.88,48.6,48.1,47.6
7/20/2012 14:00,0,6.2,188,47.55,78,13.2,191,10.1,556,2.2,45.99,50.59,49.3,48.4,47.5
7/20/2012 15:00,0,7.7,190,48.35,76,13.2,204,12,656,2.5,47.12,49.93,50.2,48.8,47.4
7/20/2012 16:00,0,6.7,146,49.52,76,13.2,195,9.9,643,2.6,47.31,51.91,51.1,49.5,47.4
7/20/2012 17:00,0,6.8,141,49.47,80,13.2,179,10.2,462,2.5,47.93,52.13,52.2,50.2,47.4
7/20/2012 18:00,0,3.7,358,49.25,71,13.2,325,9.2,230,2.5,48.49,50.5,52.9,50.9,47.5
7/20/2012 19:00,0,6.9,295,50.45,76,13.2,326,9.8,379,2.3,48.93,52.28,53.1,51.3,47.7
7/20/2012 20:00,0,9.2,297,49.82,80,13.2,301,11.4,417,2.3,48.61,51.03,53.2,51.7,47.9
7/20/2012 21:00,0,9.4,285,48.97,84,13.3,315,12.6,243,2.4,47.98,51.13,53.3,51.9,48.1
7/20/2012 22:00,0,7,290,48.04,87,13.3,300,10,83,2.4,47.82,48.55,53.1,52,48.3
7/20/2012 23:00,0,6.7,279,47.59,89,13.3,299,9.4,48,2.4,46.51,48.29,52.9,52,48.5
7/21/2012 0:00,0,6.4,266,46.22,91,13.2,278,9.3,23,2.5,45.57,46.51,52.5,51.8,48.7
7/21/2012 1:00,0,5.5,265,45.87,89,13.1,290,9.2,13,2.5,45.09,46.45,52,51.5,48.8
7/21/2012 2:00,0,5.5,271,44.46,78,13,282,9.6,6,2.6,43.73,45.3,51.4,51.2,48.9
7/21/2012 3:00,0,5.5,282,44.56,71,12.9,336,8.3,3,2.4,43.62,45.4,50.7,50.8,48.9
7/21/2012 4:00,0,5.8,303,42.78,82,12.9,315,7.6,3,2.3,41.88,44.17,50,50.3,48.9
7/21/2012 5:00,0,8.1,315,41.33,81,12.9,320,9.9,6,2.4,40.43,42.5,49.3,49.8,48.8
7/21/2012 6:00,0,8.5,328,40.88,75,13,323,11,19,2.4,40.18,41.58,48.6,49.3,48.7
7/21/2012 7:00,0,6.9,334,41.13,58,13.3,355,10,62,2.3,40.27,41.94,48.1,48.8,48.6
7/21/2012 8:00,0,4.6,330,42.13,55,13.3,319,9.5,138,2.3,41.48,43.01,47.6,48.3,48.4
7/21/2012 9:00,0,3.1,30,41.18,75,13.3,355,7,219,2.2,39.5,42.38,47.3,48,48.2
7/21/2012 10:00,0,4.2,148,40.44,72,13.3,184,8.6,312,2.3,39.19,43.48,47.4,47.7,48
7/21/2012 11:00,0,5,83,42.8,68,13.3,93,9.2,408,2.5,41.17,45.04,47.5,47.6,47.8
7/21/2012 12:00,0,6.4,131,44.11,64,13.3,135,11.1,499,2.3,42.43,45.26,47.7,47.5,47.6
7/21/2012 13:00,0,5.4,151,45.36,62,13.3,228,9.6,577,2.3,42.85,47.04,48.4,47.6,47.4
7/21/2012 14:00,0,4.4,108,48.03,60,13.3,221,8.1,634,2.3,45.88,50.39,49.2,47.8,47.3
7/21/2012 15:00,0,5.3,346,49.54,50,13.2,343,11.7,669,2.3,48.19,51.03,50.1,48.3,47.2
7/21/2012 16:00,0,9.9,286,50.75,47,13.3,284,13.1,676,2.2,49.98,52.17,50.8,48.8,47.2
7/21/2012 17:00,0,8.6,285,52.4,45,13.3,284,11.6,656,2.2,51.24,54.17,51.5,49.4,47.3
7/21/2012 18:00,0,7.9,288,54.08,42,13.2,288,10.7,609,2.2,52.81,55.32,52.1,50,47.4
7/21/2012 19:00,0,7,316,54.69,41,13.2,340,11,543,2.3,53.64,56.23,52.7,50.7,47.6
7/21/2012 20:00,0,7,320,54.98,42,13.2,350,10.4,457,2.3,54.44,55.79,53.2,51.2,47.8
7/21/2012 21:00,0,7.6,316,55.07,45,13.2,326,9.8,361,2.3,54.64,55.58,53.5,51.7,48.1
7/21/2012 22:00,0,6.8,313,54.79,52,13.2,323,8.7,259,2.3,54.12,55.47,53.7,52,48.3
7/21/2012 23:00,0,5.3,305,52.88,63,13.2,327,8.3,51,2.2,51.36,54.32,53.6,52.2,48.6
7/22/2012 0:00,0,4.3,314,50.17,72,13.1,274,10.6,17,2.3,48.5,52.02,53.2,52.1,48.8
7/22/2012 1:00,0,6.2,313,49.45,61,13,328,8.2,10,2.5,48.61,50.18,52.7,51.9,49
7/22/2012 2:00,0,4,337,50.88,57,12.9,310,6.1,4,2.4,49.59,52.54,52.1,51.6,49.1
7/22/2012 3:00,0,4.2,344,50.47,61,12.9,353,5,2,2.3,48.98,51.7,51.4,51.2,49.2
7/22/2012 4:00,0,3.4,357,49.35,61,12.8,347,4.9,2,2.3,47.5,50.45,50.8,50.8,49.2
7/22/2012 5:00,0,3,11,49.25,65,12.8,355,4.5,5,2.3,47.3,50.65,50.2,50.4,49.1
7/22/2012 6:00,0,2.1,21,49.41,53,12.9,71,3.9,16,2.4,47.82,52.39,49.7,50,49
7/22/2012 7:00,0,2.8,28,50.35,56,13.2,86,6.7,57,2.3,49.51,51.87,49.3,49.6,48.9
7/22/2012 8:00,0,2.3,83,53.49,52,13.2,85,5.5,131,2.4,51.67,55.51,49,49.2,48.8
7/22/2012 9:00,0,2.2,123,54.37,52,13.1,150,5.4,211,2.3,53.02,56.72,49.1,49,48.6
7/22/2012 10:00,0,3.1,131,54.05,54,13.1,127,4.6,303,2.3,52.7,55.63,49.4,48.9,48.4
7/22/2012 11:00,0,5.3,167,55.85,52,13.1,178,8.6,400,2.2,54.38,57.81,49.7,49,48.2
7/22/2012 12:00,0,9.5,148,58.24,49,13.1,195,12.9,489,2.1,55.94,59.68,50.1,49.1,48.1
7/22/2012 13:00,0,12.5,140,59.67,48,13.1,156,17.5,565,2.2,58.64,61.24,50.8,49.3,48
7/22/2012 14:00,0,14.6,132,60.26,44,13.2,165,19.1,626,2.3,59.09,62.11,51.6,49.7,47.9
7/22/2012 15:00,0,12,132,61.73,44,13.2,112,16.6,658,2.4,60.67,63.05,52.5,50.3,47.9
7/22/2012 16:00,0,11.6,153,62.63,46,13.1,178,17.3,663,2.5,60.66,64.54,53.3,50.9,48
7/22/2012 17:00,0,12.6,167,63.49,44,13.1,176,18.6,645,2.3,61.96,64.95,54.2,51.5,48.1
7/22/2012 18:00,0,15,180,63.05,40,13.1,200,18.9,603,2.4,61.87,65.77,54.9,52.2,48.3
7/22/2012 19:00,0,16.8,181,62.54,33,13.1,202,20.9,538,2.4,61.65,63.61,55.4,52.8,48.5
7/22/2012 20:00,0,17.2,185,62.06,31,13.1,179,20.6,456,2.1,61.45,62.89,55.7,53.3,48.8
7/22/2012 21:00,0,15.9,182,61.26,31,13.1,188,17.9,360,2.4,60.72,62.07,55.7,53.7,49.1
7/22/2012 22:00,0,13.6,180,60.42,35,13.1,183,17,261,2.3,59.7,61.45,55.7,53.9,49.4
7/22/2012 23:00,0,9,186,58.33,40,13.2,192,11.5,46,2.2,56.96,59.81,55.5,54,49.6
7/23/2012 0:00,0,5.1,200,57.48,40,13.1,215,8.1,17,2.2,56.98,57.98,54.9,53.8,49.9
